Part	Value
CINB1	1.2µH/890334027012CS
CINB2	3.3µH/890334027025CS
CINB3	3.3µH/890334027025CS
CINT1	1.2µH/890334027012CS
CINT2	3.3µH/890334027025CS
CINT3	3.3µH/890334027025CS
COB1	82nF/890334023021CS
COB2	82nF/890334023021CS
COB3	82nF/890334023021CS
COT1	82nF/890334023021CS
COT2	82nF/890334023021CS
COT3	82nF/890334023021CS
D1	0603/82306050029
D2	0603/82306050029
L1	10µH/7443321000
L2	10µH/7443321000
L3	10µH/7443321000
L4	10µH/7443321000
L5	10µH/7443321000
L6	10µH/7443321000
L7	10µH/7443321000
L8	10µH/7443321000
L9	10µH/7443321000
L10	10µH/7443321000
R7	MELF207/10R/1%
R8	MELF207/10R/1%
R9	MELF207/10R/1%
R10	MELF207/10R/1%
R11	MELF207/10R/1%
R12	MELF207/10R/1%
R13	MELF207/10R/1%
R14	MELF207/10R/1%
R15	MELF207/10R/1%
R16	MELF207/10R/1%
RINB1	MELF207/10R/1%
RINB2	MELF207/10R/1%
RINT1	MELF207/10R/1%
RINT2	MELF207/10R/1%
RLB	0805/1kR/1%
RLT	0805/1kR/1%
X-GRP	74651175
X-GRP2	74651175
X-L1IN	74651175
X-L1OUT	74651175
X-L2IN	74651175
X-L2OUT	74651175
X-PE	74651175
X1	6.0312E+13
X2	6.0312E+13
